S.No.,Factory Name,Factory Type,Code No.,Capacity,Started CrushingDate,City,Address,PhoneNo.,Email ID,Web Address,Crop Area,Required no of workers
1,Agasti SSK Ltd.,Cooperative,35301,2500,,Select,,,,,,
2,Ashok SSK Ltd.,Cooperative,12601,2600,,Select,,"2,46,29,22,46,493",ashokssk_anr@sancharnet.in,,,
3,Shri Dnyaneshwar,Cooperative,13101,5000,,Select,,,,,,
4,Shri Ganesh SSK Ltd.,Cooperative,12501,1750,,Select,,,,,,
5,Shri Jagdamba,Cooperative,13301,800,,Select,,,,,,
6,Shri Kedareshwar,Cooperative,39001,2500,,Select,,,,,,
7,The Kopargaon Sahakari Sakhar Karkhana Ltd. Gautamnagar,Cooperative,12401,3000,12th February 1956,Kopargaon,"At Gautamnagar, Post Kolpewadi, Taluka Kopargaon, Dist. Ahmednagar","02423-261210,11,12,13,14,15,16,17",kosakasugar@rediffmail.com,0,,
8,Parner Taluka SSK Ltd.,Cooperative,13501,1250,,Select,,,,,,
9,Kukadi SSK Ltd.,Cooperative,54101,2500,,Select,,,,,,
10,Padamashree Dr. Vitthalrao Vikhe Patil SSK Ltd.,Cooperative,12701,4000,,Select,,,,,,
11,Dr. Baburao Bapuji Tanpure SSK Ltd.,Cooperative,12801,4250,,Select,,,,,,
12,Sai Kripa Sakhar,Private,51501,1250,,Select,,,,,,
13,Sangamner Bhag SSK Ltd.,Cooperative,13001,3500,,Sangamner,Amrutnagar Pin 422608,"02425-225499,225457",amrutsugar@yahoo.co.in,,,
14,The Sanjivani SSK Ltd.,Cooperative,12301,3000,,Select,,,,,,
15,The Shrigonda SSK Ltd.,Cooperative,12901,3500,,Select,,,,,,
16,Mula SSK Ltd.,Cooperative,13401,3500,,Select,,,,,,
17,Shri Vriddheshwar SSK Ltd.,Cooperative,13201,2500,,Select,,,,,,
18,Nagar Taluka SSK Ltd.,Cooperative,52008,2500,,Select,,,,,,
19,Dwarkadhish Sakhar K. Ltd.,Private,51401,1250,,Select,,,,,,
20,Karmaveer Kakasaheb Wagh SSK Ltd.,Cooperative,11901,1250,,Select,,,,,,
21,The Kadwa SSK Ltd.,Cooperative,12001,1250,,Select,,,,,,
22,Nasik SSK Ltd.,Cooperative,12101,1250,,Select,,,,,,
23,Ravalgaon Sugar Mills Ltd.,Private,17101,2000,,Select,,,,,,
24,Vasantrao Dada Patil SSK Ltd.,Cooperative,12201,2500,,Select,,,,,,
25,Bhima Shankar SSK Ltd,Cooperative,46201,2500,,Select,,,,,,
26,Shri Chhatrapati SSK Ltd.,Cooperative,13801,3500,,Select,,,,,,
27,Indapur SSK Ltd.,Cooperative,33101,5000,,Select,,,,,,
28,Shri Vighnahar SSK Ltd.,Cooperative,14101,5000,,Select,,,,,,
29,Kabirsugar India Pvt.Ltd.Pune,Private,789,9888,2006,Baramati,ff,,,,,
30,Malegaon SSK Ltd.,Cooperative,13701,4000,,Select,,,,,,
31,nameuser sugar co.in,Private,12390,90,,Rajgurunagar,,,,,,
32,Nath Maskoba,Private,101,1250,,Select,,,,,,
33,Shri Someshwar SSK Ltd.,Cooperative,13601,2500,,Select,,,,,,
34,Bhima SSK Ltd,Cooperative,14001,5000,,Select,,,,,,
35,Rajgad SSK Ltd.,Cooperative,34001,1250,,Select,,,,,,
36,Ghodganga SSK Ltd.,Cooperative,40001,2500,,Select,,,,,,
37,Yashwant SSK Ltd.,Cooperative,13901,3500,,Select,,,,,,
38,Swami Samarth SSK Ltd.,Cooperative,39901,2500,,Select,,,,,,
39,Sahakar Maharshi Shankarrao Mohite Patil SSK Ltd.,Cooperative,14201,4500,1962-63,Malshiras,"Shankarnagar,Post. Yeshwantnagar,Pincode No.413118",,,,,
40,Chandrabhaga,Cooperative,49601,2500,,Select,,,,,,
41,Bhima SSK Ltd.,Cooperative,14701,2500,,Select,,,,,,
42,Shri Vitthal SSK Ltd.,Cooperative,14501,5000,,Pandharpur,Venunagar Gursale,,shrivitthal@esugarindia.com,,,
43,Shri Adinath SSK Ltd.,Cooperative,35901,2500,,Select,,,,,,
44,Shri Siddheshwar SSK Ltd.,Cooperative,14401,3000,,Select,,,,,,
45,Loknete Baburao Patil SSK Ltd.,Cooperative,52301,1250,,Select,,,,,,
46,Lokmangal Agro Ind. Ltd.,Private,50901,1250,,Select,,,,,,
47,Saswad Mali Sugar Factory Ltd.,Private,17701,2500,,Select,,,,,,
48,Shri Pandurang SSK Ltd.,Cooperative,17801,2500,,Select,,,,,,
49,Vitthalrao Shinde SSK Ltd.,Cooperative,52001,2500,,Select,,,,,,
50,Sangola Taluka SSK Ltd.,Cooperative,38601,2500,,Select,,,,,,
51,Shri Sant Damaji SSK Ltd.,Cooperative,35501,2500,,Select,,,,,,
52,Livecorporation Pvt Ltd,Private,1234567,123,,Dhule,address,(02563)255669,kk@mail.com,www.egain.com,,
53,Panzarakan SSK Ltd.,Cooperative,0,1250,,Select,,,,,,
54,Sanjay SSK Ltd.,Cooperative,112,1250,,Select,,,,,,
55,Shirpur Shetkari SSK Ltd.,Cooperative,20501,2500,,Select,,,,,,
56,Belganga SSK Ltd.,Cooperative,20301,2500,,Select,,,,,,
57,Chopda Shetkari SSK Ltd.,Cooperative,36501,2500,,Select,,,,,,
58,Maungiri Sugar & Biofuels Ltd.,Private,54001,500,,Select,,,,,,
59,Vasant SSK Ltd.,Cooperative,20101,1250,,Select,,,,,,
60,Raver Taluka SSK Ltd.,Cooperative,53006,1250,,Select,,,,,,
61,Shri Sant Muktabai SSK Ltd.,Cooperative,36901,2500,,Select,,,,,,
62,Adivasi SSK Ltd.,Cooperative,55201,1250,,Select,,,,,,
63,Pushpadanteshwar SSK Ltd.,Cooperative,37501,2500,,Select,,,,,,
64,Satpuda Tapi Parisar SSK Ltd.,Cooperative,19101,5000,,Select,,,,,,
65,Chhatrapati Sambhaji Raje SSK Ltd.,Private,52007,1250,,Select,,,,,,
66,Gangamai Sugar Industries Ltd,Private,51101,2500,,Select,,,,,,
67,Gangapur SSK Ltd.,Cooperative,18101,2000,,Select,,,,,,
